run,groups,unassigned,coverage_rate,mean_chunks_per_group,median_chunks_per_group,std_chunks_per_group,mean_intra_cosine,mean_inter_cosine,gini_group_sizes,max_group_share,silhouette_cosine,chunks,method,topic_similarity,keyword_similarity,mean_summary_chunk_sim,summary_margin,
run_0,8,0,1,9.25,8,4.264680527,0.752728455,0.401915868,0.256756757,0.22972973,0.233186359,74,llm,0.132992255,0.147545945,0.627874859,0.403391788,
run_1,8,0,1,8.25,6.5,4.841229183,0.779340871,0.390069684,0.314393939,0.242424242,0.211893931,66,llm,0.146009425,0.178272678,0.612259339,0.381055375,
run_10,8,0,1,8.375,8.5,5.242554244,0.804228695,0.353112539,0.34141791,0.223880597,0.300274531,67,llm,0.328689748,0.143458804,0.656457882,0.433453832,
run_11,8,0,1,9.5,8.5,4.330127019,0.78690883,0.398141772,0.256578947,0.210526316,0.320271281,76,llm,0.187171029,0.249123576,0.648201901,0.401278323,
run_13,7,0,1,7.428571429,9,2.718042513,0.782642119,0.358432045,0.192307692,0.192307692,0.293000322,52,llm,0.139283825,0.199000263,0.599049709,0.381338808,
run_14,7,0,1,8,7,5.503245796,0.768749271,0.398839925,0.352040816,0.357142857,0.248456805,56,llm,0.243165453,0.137585716,0.607400621,0.382918518,
run_15,8,0,1,8.5,7.5,3.535533906,0.749196954,0.404163971,0.227941176,0.220588235,0.233453769,68,llm,0.103263253,0.13822512,0.605903205,0.364272218,
run_16,7,0,1,8.285714286,8,3.493434074,0.742733009,0.387260583,0.226600985,0.25862069,0.268629237,58,llm,0.127324263,0.153879377,0.567889602,0.352755752,
run_18,7,0,1,9,8,3.295017884,0.748277944,0.424952005,0.204081633,0.238095238,0.248033753,63,llm,0.137077088,0.154420048,0.585050821,0.348510667,
run_19,8,0,1,8.25,9,2.861380786,0.731587205,0.437933647,0.193181818,0.181818182,0.157420107,66,llm,0.135563823,0.128487329,0.532646067,0.300983906,
run_2,7,0,1,7.285714286,5,4.620274751,0.751862279,0.402081984,0.347338936,0.31372549,0.238547449,51,llm,0.113006854,0.10653691,0.560878462,0.334927384,
run_20,8,0,1,8.5,9,3.674234614,0.769831169,0.385389107,0.242647059,0.205882353,0.267853142,68,llm,0.595219017,0.184093876,0.612837325,0.386358589,
run_21,5,0,1,6.6,6,2.727636339,0.758537133,0.426807263,0.23030303,0.333333333,0.235318713,33,llm,0.19100938,0.116725913,0.609659843,0.372775103,
run_22,6,0,1,7.333333333,5,4.109609335,0.732117631,0.390977818,0.287878788,0.318181818,0.170811966,44,llm,0.12733664,0.190014842,0.58983774,0.355583881,
run_23,7,0,1,7.714285714,7,2.913725436,0.751982528,0.410635983,0.211640212,0.240740741,0.20165834,54,llm,0.153074307,0.097499268,0.597898458,0.364043547,
run_24,7,0,1,7.857142857,5,4.549052379,0.750242054,0.407164031,0.311688312,0.254545455,0.195821057,55,llm,0.130648122,0.148438387,0.561112178,0.337598307,
run_3,6,0,1,7.666666667,9,3.144660377,0.742124881,0.447706547,0.217391304,0.260869565,0.172782029,46,llm,0.158670034,0.099454301,0.588896573,0.332121061,
run_4,7,0,1,7.285714286,9,2.962348765,0.783066469,0.415269953,0.224089636,0.215686275,0.232117482,51,llm,0.165954099,0.138967418,0.63930088,0.382178071,
run_5,8,0,1,9,8,6.103277808,0.788922014,0.358162867,0.378472222,0.263888889,0.300927326,72,llm,0.172626129,0.121079606,0.633440331,0.420008509,
run_7,7,0,1,8.142857143,7,3.719776162,0.743758801,0.423664029,0.255639098,0.228070175,0.155580305,57,llm,0.280182119,0.139154463,0.544603332,0.311875943,
run_8,7,0,1,8.428571429,9,3.499271061,0.770993348,0.399344125,0.232445521,0.237288136,0.260628448,59,llm,0.100601383,0.214467691,0.608598113,0.371525323,
run_9,8,0,1,8.25,7,4.683748499,0.784026964,0.377479659,0.318181818,0.242424242,0.267990474,66,llm,0.11971327,0.220833395,0.614370824,0.384802694,
run_0,8,0,1,9.25,7,4.918078893,0.735545182,0.419547123,0.290540541,0.216216216,0.240187292,74,heuristic,0.084909379,0.111688404,0.586115504,0.356793207,
run_1,8,0,1,8.25,5.5,6.703543839,0.763500755,0.396432584,0.40530303,0.363636364,0.168656698,66,heuristic,0.123204696,0.104244198,0.590308988,0.352355676,
run_10,8,0,1,8.375,7.5,4.5535014,0.77776257,0.401839829,0.304104478,0.23880597,0.195397647,67,heuristic,0.207759179,0.122414051,0.614217091,0.382770888,
run_11,8,0,1,9.5,8.5,8.077747211,0.827451837,0.364127628,0.450657895,0.355263158,0.223212599,76,heuristic,0.251194498,0.229480529,0.648198774,0.421904635,
run_13,7,0,1,7.428571429,6,3.06394437,0.763159178,0.381174905,0.225274725,0.25,0.232756627,52,heuristic,0.142669826,0.13428333,0.612314535,0.391819177,
run_14,7,0,1,8,9,3.545621042,0.754325391,0.466189785,0.244897959,0.25,0.202851009,56,heuristic,0.192818042,0.122828746,0.590149797,0.350517725,
run_15,8,0,1,8.5,9,3.278719262,0.750927895,0.421132085,0.213235294,0.191176471,0.211435597,68,heuristic,0.139016585,0.146282998,0.57742673,0.346700556,
run_16,7,0,1,8.285714286,7,4.948716593,0.746459936,0.394955645,0.334975369,0.25862069,0.204684176,58,heuristic,0.097042243,0.090046977,0.56366522,0.342604758,
run_18,7,0,1,9,8,4.898979486,0.770945611,0.433318672,0.303854875,0.26984127,0.165688177,63,heuristic,0.114470019,0.113500978,0.596179818,0.36517082,
run_19,8,0,1,8.25,9,3.929058411,0.714854128,0.406603105,0.265151515,0.212121212,0.174229621,66,heuristic,0.071896985,0.115461656,0.536452886,0.317885908,
run_2,7,0,1,7.285714286,4,7.591617289,0.803438612,0.358176018,0.509803922,0.470588235,0.21153569,51,heuristic,0.090636437,0.108266068,0.642748896,0.416996904,
run_20,8,0,1,8.5,4,7.778174593,0.788411287,0.383965427,0.485294118,0.338235294,0.154615619,68,heuristic,0.672126132,0.159386202,0.591284538,0.370086128,
run_21,5,0,1,6.6,7,3.261901286,0.759959043,0.432948056,0.278787879,0.333333333,0.175480313,33,heuristic,0.070260702,0.12236487,0.582262172,0.35984977,
run_22,6,0,1,7.333333333,6,4.149966533,0.737659369,0.442071667,0.28030303,0.363636364,0.150611081,44,heuristic,0.129988898,0.153182889,0.578536955,0.331929092,
run_23,7,0,1,7.714285714,7,3.103651569,0.738278025,0.4349349,0.222222222,0.240740741,0.184035578,54,heuristic,0.128388397,0.077707219,0.545843537,0.298240857,
run_24,7,0,1,7.857142857,7,4.050699108,0.723703185,0.450399888,0.285714286,0.272727273,0.140414128,55,heuristic,0.073344377,0.106999774,0.549723562,0.31281877,
run_3,6,0,1,7.666666667,9.5,3.771236166,0.772197223,0.417959667,0.260869565,0.260869565,0.240631893,46,heuristic,0.176571268,0.09844817,0.57560637,0.341112122,
run_4,7,0,1,7.285714286,8,3.103651569,0.748663721,0.438021376,0.240896359,0.235294118,0.256153477,51,heuristic,0.099166495,0.090181814,0.574170288,0.307909134,
run_5,8,0,1,9,9.5,3.5,0.760079237,0.38640838,0.215277778,0.208333333,0.256524391,72,heuristic,0.105423753,0.137298841,0.601789522,0.375102466,
run_7,7,0,1,8.142857143,5,5.865847191,0.754057295,0.382273234,0.395989975,0.298245614,0.105407386,57,heuristic,0.218998988,0.092955671,0.537723539,0.314221277,
run_8,7,0,1,8.428571429,9,4.531071865,0.791516522,0.396237973,0.295399516,0.288135593,0.283409147,59,heuristic,0.225869221,0.175938422,0.564683447,0.360754824,
run_9,8,0,1,8.25,8.5,4.841229183,0.781247059,0.392252559,0.329545455,0.212121212,0.186646787,66,heuristic,0.095416989,0.134489586,0.597501506,0.35696902,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
